Fas	Fas	NN	B-NP	B-protein	Mention 3	
=	=	SYM	B-VP	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
0001	0001	CD	B-NP	O	
)	)	)	O	O	
.	.	.	O	O	
By	By	IN	B-PP	O	
multivariate	multivariate	JJ	B-NP	O	
analysis	analysis	NN	I-NP	O	
,	,	,	O	O	
p27	p27	NN	B-NP	B-protein	
predicted	predict	VBD	B-VP	O	
the	the	DT	B-NP	O	
overall	overall	JJ	I-NP	O	
survival	survival	NN	I-NP	O	
independently	independently	RB	B-ADVP	O	
(	(	(	O	O	
P	P	NN	B-NP	O	
=	=	SYM	B-VP	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
0096	0096	LS	B-LST	O	
)	)	)	O	O	
.	.	.	O	O	
Our	Our	PRP$	B-NP	O	
study	study	NN	I-NP	O	
indicates	indicate	VBZ	B-VP	O	
that	that	IN	B-SBAR	O	
p27	p27	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
is	be	VBZ	B-VP	O	
an	an	DT	B-NP	O	
independent	independent	JJ	I-NP	O	
prognostic	prognostic	JJ	I-NP	O	
marker	marker	NN	I-NP	O	
of	of	IN	B-PP	O	
breast	breast	NN	B-NP	O	
cancer	cancer	NN	I-NP	O	
in	in	IN	B-PP	O	
Taiwan	Taiwan	NNP	B-NP	O	
.	.	.	O	O	
Inotropic	Inotropic	JJ	B-NP	O	Mention 114	
effects	effect	NNS	I-NP	O	
on	on	IN	B-PP	O	
isolated	isolate	VBN	B-NP	O	
neonatal	neonatal	JJ	I-NP	O	
and	and	CC	I-NP	O	
adult	adult	JJ	I-NP	O	
mouse	mouse	NN	I-NP	O	
myocardium	myocardium	NN	I-NP	O	
of	of	IN	B-PP	O	
endothelin	endothelin	NN	B-NP	O	
I	I	CD	I-NP	O	
and	and	CC	O	O	
angiotensin	angiotensin	NN	B-NP	O	
II	II	CD	I-NP	O	
were	be	VBD	B-VP	O	
examined	examine	VBN	I-VP	O	
.	.	.	O	O	
Endothelin	Endothelin	NN	B-NP	B-protein	
I	I	PRP	B-NP	O	
produced	produce	VBD	B-VP	O	
a	a	DT	B-NP	O	
sustained	sustained	JJ	I-NP	O	
positive	positive	JJ	I-NP	O	Mention 115	
inotropic	inotropic	JJ	I-NP	O	
response	response	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
neonate	neonate	NN	I-NP	O	
but	but	CC	O	O	
a	a	DT	B-NP	O	
sustained	sustained	JJ	I-NP	O	
negative	negative	JJ	I-NP	O	Mention 116	
response	response	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
adult	adult	NN	I-NP	O	
.	.	.	O	O	
Both	Both	DT	B-NP	O	Mention 117	
were	be	VBD	B-VP	O	
concentration-dependent	concentration-dependent	JJ	B-ADJP	O	
and	and	CC	O	O	
were	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
endothelin	endothelin	NN	I-NP	B-protein	Mention 118	
ETA	ETA	NN	I-NP	I-protein	
receptor	receptor	NN	I-NP	I-protein	
antagonist	antagonist	NN	I-NP	O	
,	,	,	O	O	
BQ-123	BQ-123	NN	B-NP	O	
(	(	(	O	O	Mention 119	
Cyclo	Cyclo	NN	B-NP	O	
(	(	(	O	O	
D-a-aspartyl-L-prolyl-D-valyl-L-leucyl-D-tryptophyl	D-a-aspartyl-L-prolyl-D-valyl-L-leucyl-D-tryptophyl	NN	B-NP	O	
)	)	)	O	O	
)	)	)	O	O	
.	.	.	O	O	
Angiotensin	Angiotensin	NN	B-NP	B-protein	
II	II	CD	I-NP	I-protein	
produced	produce	VBD	B-VP	O	
a	a	DT	B-NP	O	
sustained	sustained	JJ	I-NP	O	
positive	positive	JJ	I-NP	O	Mention 120	
inotropic	inotropic	JJ	I-NP	O	
response	response	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
neonate	neonate	NN	I-NP	O	
while	while	IN	B-SBAR	O	
a	a	DT	B-NP	O	
sustained	sustained	JJ	I-NP	O	
negative	negative	JJ	I-NP	O	Mention 121	
response	response	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
adult	adult	NN	I-NP	O	
.	.	.	O	O	
Both	Both	DT	B-NP	O	Mention 122	
were	be	VBD	B-VP	O	
concentration-dependent	concentration-dependent	JJ	B-ADJP	O	
and	and	CC	O	O	
were	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
angiotensin	angiotensin	NN	I-NP	O	Mention 123	
AT1	AT1	NN	I-NP	O	
receptor	receptor	NN	I-NP	O	
antagonist	antagonist	NN	I-NP	O	
,	,	,	O	O	
YM358	YM358	NN	B-NP	O	
(	(	(	O	O	
2	2	CD	B-NP	O	Mention 124	
,	,	,	O	O	
7-diethyl-5-	7-diethyl-5-	CD	B-NP	O	
(	(	(	O	O	
(	(	(	O	O	
2'-	2'-	CD	B-NP	O	
(	(	(	O	O	
1	1	CD	B-NP	O	
H-tetrazol-5-yl	H-tetrazol-5-yl	NN	I-NP	O	
)	)	)	O	O	
biphenyl-4-yl	biphenyl-4-yl	NN	B-NP	O	
)	)	)	O	O	
methyl-5H-pyrazolo	methyl-5H-pyrazolo	NN	B-NP	O	
(	(	(	O	O	
1	1	CD	B-NP	O	
,	,	,	O	O	
5-b	5-b	JJ	B-ADJP	O	
)	)	)	O	O	
(	(	(	O	O	
1	1	CD	B-NP	O	
,	,	,	I-NP	O	
2	2	CD	I-NP	O	
,	,	,	I-NP	O	
4	4	CD	I-NP	O	
)	)	)	O	O	
tria	tria	NN	B-NP	O	
zole	zole	NN	I-NP	O	
potassium	potassium	NN	I-NP	O	
salt	salt	NN	I-NP	O	
monohydrate	monohydrate	NN	I-NP	O	
)	)	)	O	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
results	result	NNS	I-NP	O	
indicate	indicate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
inotropic	inotropic	JJ	B-NP	O	
responses	response	NNS	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
mouse	mouse	NN	I-NP	O	
heart	heart	NN	I-NP	O	
to	to	TO	B-PP	O	
cardioactive	cardioactive	JJ	B-NP	O	
peptides	peptide	NNS	I-NP	O	
are	be	VBP	B-VP	O	
unique	unique	JJ	B-ADJP	O	
among	among	IN	B-PP	O	
experimental	experimental	JJ	B-NP	O	
animal	animal	NN	I-NP	O	
species	specie	NNS	I-NP	O	
and	and	CC	O	O	
may	may	MD	B-VP	O	
be	be	VB	I-VP	O	
reversed	reverse	VBN	I-VP	O	
during	during	IN	B-PP	O	
development	development	NN	B-NP	O	
.	.	.	O	O	
Cleavage	Cleavage	NN	B-NP	O	Mention 128	
and	and	CC	I-NP	O	
polyadenylation	polyadenylation	NN	I-NP	O	
specificity	specificity	NN	I-NP	O	
factor	factor	NN	I-NP	O	
(	(	(	O	O	
CPSF	CPSF	NN	B-NP	B-protein	Mention 129	
)	)	)	O	O	
,	,	,	O	O	
a	a	DT	B-NP	O	
key	key	JJ	I-NP	O	
component	component	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
mammalian	mammalian	JJ	I-NP	O	
RNA	RNA	NN	I-NP	O	
3'-end	3'-end	NN	I-NP	O	
processing	processing	NN	I-NP	O	
machinery	machinery	NN	I-NP	O	
,	,	,	O	O	
consists	consist	VBZ	B-VP	O	
of	of	IN	B-PP	O	
four	four	CD	B-NP	O	
subunits	subunit	NNS	I-NP	O	
of	of	IN	B-PP	O	
160	160	CD	B-NP	O	
,	,	,	I-NP	O	
100	100	CD	I-NP	O	
,	,	,	I-NP	O	
73	73	CD	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
30	30	CD	B-NP	O	
kD	kD	NN	I-NP	O	
.	.	.	O	O	
Here	Here	RB	B-ADVP	O	
we	we	PRP	B-NP	O	
report	report	VBP	B-VP	O	
the	the	DT	B-NP	O	
isolation	isolation	NN	I-NP	O	
and	and	CC	I-NP	O	
characterization	characterization	NN	I-NP	O	
of	of	IN	B-PP	O	
a	a	DT	B-NP	O	
cDNA	cDNA	NN	I-NP	B-DNA	
encoding	encode	VBG	B-VP	O	
the	the	DT	B-NP	O	
30-kD	30-kD	JJ	I-NP	B-protein	Mention 130	
polypeptide	polypeptide	NN	I-NP	I-protein	
.	.	.	O	O	
Antibodies	Antibody	NNS	B-NP	B-protein	
raised	raise	VBN	B-VP	O	
against	against	IN	B-PP	O	
this	this	DT	B-NP	O	Mention 131	
protein	protein	NN	I-NP	O	
inhibit	inhibit	VBP	B-VP	O	
cleavage	cleavage	NN	B-NP	O	
and	and	CC	I-NP	O	
polyadenylation	polyadenylation	NN	I-NP	O	
and	and	CC	O	O	
coimmunoprecipitate	coimmunoprecipitate	VB	B-VP	O	
the	the	DT	B-NP	O	
other	other	JJ	I-NP	O	
CPSF	CPSF	NN	I-NP	B-protein	Mention 132	
subunits	subunit	NNS	I-NP	I-protein	
.	.	.	O	O	
The	The	DT	B-NP	O	Mention 133	
protein	protein	NN	I-NP	O	
sequence	sequence	NN	I-NP	O	
contains	contain	VBZ	B-VP	O	
five	five	CD	B-NP	O	
C3H-zinc-finger	C3H-zinc-finger	NN	I-NP	B-DNA	
repeats	repeat	NNS	I-NP	I-DNA	
and	and	CC	O	O	
a	a	DT	B-NP	O	
putative	putative	JJ	I-NP	O	
RNA-binding	RNA-binding	JJ	I-NP	O	
zinc	zinc	NN	I-NP	O	
knuckle	knuckle	NN	I-NP	O	
motif	motif	NN	I-NP	O	
at	at	IN	B-PP	O	
the	the	DT	B-NP	O	
carboxyl	carboxyl	NN	I-NP	B-protein	
terminus	terminus	NN	I-NP	I-protein	
.	.	.	O	O	
Consistent	Consistent	JJ	B-ADJP	O	
with	with	IN	B-PP	O	
this	this	DT	B-NP	O	
observation	observation	NN	I-NP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
in	in	FW	I-NP	O	
vitro	vitro	FW	I-NP	O	
translated	translate	VBN	B-VP	O	
30-kD	30-kD	JJ	B-NP	B-protein	Mention 134	
protein	protein	NN	I-NP	I-protein	
binds	bind	VBZ	B-VP	O	
RNA	RNA	NN	B-NP	B-protein	Mention 135	
polymers	polymer	NNS	I-NP	I-protein	
with	with	IN	B-PP	O	
a	a	DT	B-NP	O	
distinct	distinct	JJ	I-NP	O	
preference	preference	NN	I-NP	O	
for	for	IN	B-PP	O	
poly	poly	NN	B-NP	O	
(	(	(	O	O	
U	U	NN	B-NP	O	
)	)	)	O	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
addition	addition	NN	B-NP	O	
,	,	,	O	O	
an	an	DT	B-NP	O	
essential	essential	JJ	I-NP	O	Mention 136	
S	S	NN	I-NP	O	
.	.	.	O	O	
cerevisiae	cerevisiae	JJ	B-NP	O	
gene	gene	NN	I-NP	O	
,	,	,	O	O	
YTH1	YTH1	NN	B-NP	B-DNA	Mention 137	
,	,	,	O	O	
was	be	VBD	B-VP	O	
cloned	clone	VBN	I-VP	O	
which	which	WDT	B-NP	O	
is	be	VBZ	B-VP	O	
40	40	CD	B-NP	O	
%	%	NN	I-NP	O	
identical	identical	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
CPSF	CPSF	NN	B-NP	B-protein	
30K	30K	NN	I-NP	I-protein	
at	at	IN	B-PP	O	
the	the	DT	B-NP	O	
protein	protein	NN	I-NP	O	
level	level	NN	I-NP	O	
.	.	.	O	O	
Extracts	Extract	NNS	B-NP	O	
prepared	prepare	VBN	B-VP	O	
from	from	IN	B-PP	O	
a	a	DT	B-NP	O	
conditional	conditional	JJ	I-NP	O	
yth1	yth1	NN	I-NP	O	
mutant	mutant	NN	I-NP	O	
have	have	VBP	B-VP	O	
normal	normal	JJ	B-NP	O	
cleavage	cleavage	NN	I-NP	O	
activity	activity	NN	I-NP	O	
,	,	,	O	O	
but	but	CC	O	O	
fail	fail	VBP	B-VP	O	
to	to	TO	I-VP	O	
polyadenylate	polyadenylate	VB	I-VP	O	
the	the	DT	B-NP	O	
upstream	upstream	JJ	I-NP	B-protein	
cleavage	cleavage	NN	I-NP	I-protein	
product	product	NN	I-NP	I-protein	
.	.	.	O	O	
Efficient	Efficient	JJ	B-NP	O	
polyadenylation	polyadenylation	NN	I-NP	O	
activity	activity	NN	I-NP	O	
can	can	MD	B-VP	O	
be	be	VB	I-VP	O	
restored	restore	VBN	I-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
addition	addition	NN	I-NP	O	
of	of	IN	B-PP	O	
purified	purify	VBN	B-NP	O	Mention 138	
polyadenylation	polyadenylation	NN	I-NP	O	
factor	factor	NN	I-NP	O	
I	I	CD	I-NP	O	
(	(	(	O	O	
PF	PF	NN	B-NP	B-DNA	Mention 139	
I	I	CD	I-NP	I-DNA	
)	)	)	O	O	
.	.	.	O	O	
We	We	PRP	B-NP	O	
demonstrate	demonstrate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
Yth1p	Yth1p	NN	B-NP	B-protein	Mention 140	
is	be	VBZ	B-VP	O	
a	a	DT	B-NP	O	
component	component	NN	I-NP	O	
of	of	IN	B-PP	O	
PF	PF	NN	B-NP	B-protein	Mention 141	
I	I	CD	I-NP	I-protein	
that	that	WDT	B-NP	O	
interacts	interact	VBZ	B-VP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
and	and	CC	O	O	
in	in	FW	B-ADVP	O	
vitro	vitro	FW	I-ADVP	O	
with	with	IN	B-PP	O	
Fip1p	Fip1p	NN	B-NP	O	Mention 142	
,	,	,	O	O	
a	a	DT	B-NP	O	
known	know	VBN	I-NP	O	
PF	PF	NN	I-NP	B-protein	Mention 143	
I	I	CD	I-NP	I-protein	
subunit	subunit	NN	I-NP	I-protein	
.	.	.	O	O	
In	In	IN	B-PP	O	
cardiac	cardiac	JJ	B-NP	O	
sarcolemmal	sarcolemmal	JJ	I-NP	O	
vesicles	vesicle	NNS	I-NP	O	
,	,	,	O	O	
MgATP	MgATP	NN	B-NP	B-protein	
stimulates	stimulate	VBZ	B-VP	O	
Na+/Ca2+	Na+/Ca2+	NN	B-NP	O	Mention 145	
exchange	exchange	NN	I-NP	O	
with	with	IN	B-PP	O	
the	the	DT	B-NP	O	
following	follow	VBG	I-NP	O	
characteristics	characteristic	NNS	I-NP	O	
:	:	:	O	O	
1	1	LS	B-LST	O	
)	)	)	O	O	
increases	increase	VBZ	B-VP	O	
10-fold	10-fold	RB	B-ADVP	O	
the	the	DT	B-NP	O	
apparent	apparent	JJ	I-NP	O	
affinity	affinity	NN	I-NP	O	
for	for	IN	B-PP	O	
cytosolic	cytosolic	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
;	;	:	O	O	
2	2	LS	B-LST	O	
)	)	)	O	O	
a	a	DT	B-NP	O	
Michaelis	Michaelis	NNP	I-NP	O	
constant	constant	NN	I-NP	O	
for	for	IN	B-PP	O	
ATP	ATP	NN	B-NP	O	
of	of	IN	B-PP	O	
approximately	approximately	RB	B-NP	O	
500	500	CD	I-NP	O	
microM	microM	NN	I-NP	O	
;	;	:	O	O	
3	3	LS	B-LST	O	
)	)	)	O	O	
requires	require	VBZ	B-VP	O	
micromolar	micromolar	JJ	B-NP	O	
vanadate	vanadate	NN	I-NP	O	
while	while	IN	B-SBAR	O	
millimolar	millimolar	JJ	B-NP	O	
concentrations	concentration	NNS	I-NP	O	
are	be	VBP	B-VP	O	
inhibitory	inhibitory	JJ	B-ADJP	O	
;	;	:	O	O	
4	4	CD	B-NP	O	
)	)	)	O	O	
not	not	RB	B-VP	O	
observed	observe	VBN	I-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
presence	presence	NN	I-NP	O	
of	of	IN	B-PP	O	
20	20	CD	B-NP	O	
microM	microM	NN	I-NP	O	
eosin	eosin	NN	I-NP	O	
alone	alone	RB	B-ADVP	O	
but	but	CC	O	O	
reinstated	reinstate	VBD	B-VP	O	
when	when	WRB	B-ADVP	O	
vanadate	vanadate	NN	B-NP	O	
is	be	VBZ	B-VP	O	
added	add	VBN	I-VP	O	
;	;	:	O	O	
5	5	LS	B-LST	O	
)	)	)	O	O	
mimicked	mimic	VBN	B-VP	O	
by	by	IN	B-PP	O	
adenosine	adenosine	NN	B-NP	O	
5'-O-	5'-O-	NN	I-NP	O	
(	(	(	O	O	
3-thiotriphosphate	3-thiotriphosphate	NN	B-NP	O	
)	)	)	O	O	
,	,	,	O	O	
without	without	IN	B-PP	O	
the	the	DT	B-NP	O	
need	need	NN	I-NP	O	
for	for	IN	B-PP	O	
vanadate	vanadate	NN	B-NP	O	
,	,	,	B-PP	O	
but	but	CC	I-PP	O	
not	not	RB	I-PP	O	
by	by	IN	B-PP	O	
beta	beta	NN	B-NP	O	
,	,	,	O	O	
gamma-methyleneadenosine	gamma-methyleneadenosine	NN	B-NP	O	
5'-triphosphate	5'-triphosphate	NN	I-NP	O	
;	;	:	O	O	
and	and	CC	O	O	
6	6	CD	B-NP	O	
)	)	)	O	O	
not	not	RB	B-VP	O	
affected	affect	VBN	I-VP	O	
by	by	IN	B-PP	O	
unspecific	unspecific	JJ	B-NP	B-protein	
protein	protein	NN	I-NP	I-protein	
alkaline	alkaline	NN	I-NP	I-protein	
phosphatase	phosphatase	NN	I-NP	I-protein	
but	but	CC	O	O	
abolished	abolish	VBN	B-VP	O	
by	by	IN	B-PP	O	
a	a	DT	B-NP	O	
phosphatidylinositol-specific	phosphatidylinositol-specific	JJ	I-NP	B-protein	
phospholipase	phospholipase	NN	I-NP	I-protein	
C	C	NN	I-NP	I-protein	
(	(	(	O	O	
PI-PLC	PI-PLC	NN	B-NP	B-protein	
)	)	)	O	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
PI-PLC	PI-PLC	NN	I-NP	O	
effect	effect	NN	I-NP	O	
is	be	VBZ	B-VP	O	
counteracted	counteract	VBN	I-VP	O	
by	by	IN	B-PP	O	
phosphatidylinositol	phosphatidylinositol	NN	B-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
addition	addition	NN	B-NP	O	
,	,	,	O	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
absence	absence	NN	I-NP	O	
of	of	IN	B-PP	O	
ATP	ATP	NN	B-NP	O	
,	,	,	O	O	
L-alpha-phosphatidylinositol	L-alpha-phosphatidylinositol	NN	B-NP	O	Mention 146	
4	4	CD	I-NP	O	
,	,	,	O	O	
5-bisphosphate	5-bisphosphate	NN	B-NP	O	
(	(	(	O	O	
PIP2	PIP2	NN	B-NP	B-protein	Mention 147	
)	)	)	O	O	
was	be	VBD	B-VP	O	
able	able	JJ	B-ADJP	O	
to	to	TO	B-VP	O	
stimulate	stimulate	VB	I-VP	O	
the	the	DT	B-NP	O	Mention 148	
exchanger	exchanger	NN	I-NP	O	
activity	activity	NN	I-NP	O	
in	in	IN	B-PP	O	
vesicles	vesicle	NNS	B-NP	O	
pretreated	pretreate	VBN	B-VP	O	
with	with	IN	B-PP	O	
PI-PLC	PI-PLC	NN	B-NP	B-protein	
.	.	.	O	O	
This	This	DT	B-NP	O	
MgATP	MgATP	NN	I-NP	B-protein	
stimulation	stimulation	NN	I-NP	O	
is	be	VBZ	B-VP	O	
not	not	RB	O	O	
related	related	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
phosphorylation	phosphorylation	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
carrier	carrier	NN	I-NP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
phosphorylation	phosphorylation	NN	B-NP	O	
appeared	appear	VBD	B-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
phosphoinositides	phosphoinositide	NNS	I-NP	O	Mention 149	
,	,	,	O	O	
mainly	mainly	RB	B-NP	O	
PIP2	PIP2	NN	I-NP	B-protein	Mention 150	
,	,	,	O	O	
that	that	WDT	B-NP	O	
coimmunoprecipitate	coimmunoprecipitate	VBP	B-VP	O	
with	with	IN	B-PP	O	
the	the	DT	B-NP	O	Mention 151	
exchanger	exchanger	NN	I-NP	O	
.	.	.	O	O	
Vesicles	Vesicle	NNS	B-NP	O	
incubated	incubate	VBN	B-VP	O	
with	with	IN	B-PP	O	
MgATP	MgATP	NN	B-NP	B-protein	
and	and	CC	O	O	
no	no	DT	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
show	show	VBP	B-VP	O	
a	a	DT	B-NP	O	
marked	marked	JJ	I-NP	O	
synthesis	synthesis	NN	I-NP	O	
of	of	IN	B-PP	O	
L-alpha-phosphatidylinositol	L-alpha-phosphatidylinositol	NN	B-NP	O	
4-monophosphate	4-monophosphate	NN	I-NP	O	
(	(	(	O	O	
PIP	PIP	NN	B-NP	B-protein	
)	)	)	O	O	
with	with	IN	B-PP	O	
little	little	JJ	B-NP	O	
production	production	NN	I-NP	O	
of	of	IN	B-PP	O	
PIP2	PIP2	NN	B-NP	B-protein	
;	;	:	O	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
presence	presence	NN	I-NP	O	
of	of	IN	B-PP	O	
1	1	CD	B-NP	O	
microM	microM	NN	I-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
net	net	JJ	I-NP	O	
synthesis	synthesis	NN	I-NP	O	
of	of	IN	B-PP	O	
PIP	PIP	NN	B-NP	B-protein	
is	be	VBZ	B-VP	O	
smaller	small	JJR	B-ADJP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
that	that	DT	B-NP	O	
of	of	IN	B-PP	O	
PIP2	PIP2	NN	B-NP	B-protein	
increases	increase	VBZ	B-VP	O	
ninefold	ninefold	RB	B-ADVP	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
results	result	NNS	I-NP	O	
indicate	indicate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
PIP2	PIP2	NN	B-NP	B-protein	
is	be	VBZ	B-VP	O	
involved	involve	VBN	I-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
MgATP	MgATP	NN	I-NP	O	
stimulation	stimulation	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
cardiac	cardiac	JJ	I-NP	B-protein	Mention 152	
Na+/Ca2+	Na+/Ca2+	NN	I-NP	I-protein	
exchanger	exchanger	NN	I-NP	I-protein	
through	through	IN	B-PP	O	
a	a	DT	B-NP	O	
fast	fast	JJ	I-NP	B-protein	
phosphorylation	phosphorylation	NN	I-NP	I-protein	
chain	chain	NN	I-NP	I-protein	
:	:	:	O	O	
a	a	DT	B-NP	O	
Ca	Ca	NN	I-NP	O	
(	(	(	O	O	
2+	2+	JJ	B-ADJP	O	
)	)	)	O	O	
-independent	-independent	JJ	B-NP	O	
PIP	PIP	NN	I-NP	O	
formation	formation	NN	I-NP	O	
followed	follow	VBN	B-VP	O	
by	by	IN	B-PP	O	
a	a	DT	B-NP	O	
Ca	Ca	NN	I-NP	O	
(	(	(	O	O	
2+	2+	JJ	B-ADJP	O	
)	)	)	O	O	
-dependent	-dependent	JJ	B-NP	O	
synthesis	synthesis	NN	I-NP	O	
of	of	IN	B-PP	O	
PIP2	PIP2	NN	B-NP	B-protein	
.	.	.	O	O	
Aggregation	Aggregation	NN	B-NP	O	
of	of	IN	B-PP	O	
acetylcholine	acetylcholine	NN	B-NP	B-protein	
receptors	receptor	NNS	I-NP	I-protein	
(	(	(	O	O	
AChRs	AChR	NNS	B-NP	B-protein	
)	)	)	O	O	
in	in	IN	B-PP	O	
muscle	muscle	NN	B-NP	O	
fibers	fiber	NNS	I-NP	O	
by	by	IN	B-PP	O	
nerve-derived	nerve-derived	JJ	B-NP	B-protein	
agrin	agrin	NN	I-NP	I-protein	
plays	play	VBZ	B-VP	O	
a	a	DT	B-NP	O	
key	key	JJ	I-NP	O	
role	role	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
formation	formation	NN	I-NP	O	
of	of	IN	B-PP	O	
neuromuscular	neuromuscular	JJ	B-NP	O	
junctions	junction	NNS	I-NP	O	
.	.	.	O	O	
So	So	RB	B-ADVP	O	
far	far	RB	I-ADVP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
effects	effect	NNS	I-NP	O	
of	of	IN	B-PP	O	
agrin	agrin	NN	B-NP	O	
on	on	IN	B-PP	O	
muscle	muscle	NN	B-NP	O	
fibers	fiber	NNS	I-NP	O	
have	have	VBP	B-VP	O	
been	be	VBN	I-VP	O	
studied	study	VBN	I-VP	O	
in	in	IN	B-PP	O	
culture	culture	NN	B-NP	O	
systems	system	NNS	I-NP	O	
,	,	,	O	O	
transgenic	transgenic	JJ	B-NP	O	
animals	animal	NNS	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
in	in	IN	B-PP	O	
animals	animal	NNS	B-NP	O	
injected	inject	VBN	B-VP	O	
with	with	IN	B-PP	O	
agrin	agrin	NN	B-NP	B-DNA	
--	--	:	O	I-DNA	
cDNA	cDNA	NN	B-NP	I-DNA	
constructs	construct	NNS	I-NP	I-DNA	
.	.	.	O	O	
We	We	PRP	B-NP	O	
have	have	VBP	B-VP	O	
applied	apply	VBN	I-VP	O	
purified	purify	VBN	I-VP	O	
recombinant	recombinant	JJ	B-NP	O	
chick	chick	NN	I-NP	O	
neural	neural	JJ	I-NP	O	
and	and	CC	I-NP	O	
muscle	muscle	NN	I-NP	O	
agrin	agrin	NN	I-NP	O	
to	to	TO	B-PP	O	
rat	rat	NN	B-NP	O	
soleus	soleus	NN	I-NP	O	
muscle	muscle	NN	I-NP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
and	and	CC	O	O	
obtained	obtain	VBD	B-VP	O	
the	the	DT	B-NP	O	
following	follow	VBG	I-NP	O	
results	result	NNS	I-NP	O	
.	.	.	O	O	
Both	Both	CC	O	O	
neural	neural	JJ	B-NP	O	Mention 153	
and	and	CC	I-NP	O	
muscle	muscle	NN	I-NP	O	
agrin	agrin	NN	I-NP	O	
bind	bind	VBP	B-VP	O	
uniformly	uniformly	RB	B-ADVP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
surface	surface	NN	I-NP	O	
of	of	IN	B-PP	O	
innervated	innervated	JJ	B-NP	O	
and	and	CC	I-NP	O	
denervated	denervate	VBN	I-NP	O	
muscle	muscle	NN	I-NP	O	Mention 154	
fibers	fiber	NNS	I-NP	O	
along	along	IN	B-PP	O	
their	their	PRP$	B-NP	O	Mention 155	
entire	entire	JJ	I-NP	O	
length	length	NN	I-NP	O	
.	.	.	O	O	
Neural	Neural	JJ	B-NP	B-protein	
agrin	agrin	NN	I-NP	I-protein	
causes	cause	VBZ	B-VP	O	
a	a	DT	B-NP	O	
dose-dependent	dose-dependent	JJ	I-NP	O	
appearance	appearance	NN	I-NP	O	
of	of	IN	B-PP	O	
AChR	AChR	NN	B-NP	O	
aggregates	aggregate	NNS	I-NP	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
persist	persist	VBP	B-VP	O	
>	>	SYM	B-NP	O	
or	or	CC	O	O	
=	=	SYM	B-VP	O	
7	7	CD	B-NP	O	
wk	wk	NN	I-NP	O	
after	after	IN	B-PP	O	
a	a	DT	B-NP	O	
single	single	JJ	I-NP	O	
application	application	NN	I-NP	O	
.	.	.	O	O	
Muscle	Muscle	NN	B-NP	B-protein	
agrin	agrin	NN	I-NP	I-protein	
does	do	VBZ	B-VP	O	
not	not	RB	I-VP	O	
cluster	cluster	VB	I-VP	O	
AChRs	AChR	NNS	B-NP	O	
and	and	CC	O	O	
